obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('47',)",3716913802,7,3.570640087,3742013811,3742013812,3716913802,0,internal_timestamp,75.36699677,1507925002,33.8103981,0,8.62899971,1026.592077,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('48',)",3716913802,7,3.570640087,3742013811,3742013812,3716913802,0,internal_timestamp,75.36699677,1507925002,33.8105011,0,8.628800392,1026.592188,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('49',)",3716913802,7,3.570640087,3742013811,3742013812,3716913802,0,internal_timestamp,75.37000275,1507925002,33.81069946,0,8.628600121,1026.592388,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('50',)",3716913802,7,3.570640087,3742013811,3742013812,3716913802,0,internal_timestamp,75.3730011,1507925002,33.81100082,0,8.628399849,1026.592669,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('51',)",3716913803,7,3.570640087,3742013811,3742013812,3716913803,0,internal_timestamp,75.37799835,1507925003,33.81119919,0,8.628199577,1026.592879,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('52',)",3716913803,7,3.570650101,3742013811,3742013812,3716913803,0,internal_timestamp,75.3809967,1507925003,33.81129837,0,8.628100395,1026.592985,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('53',)",3716913803,7,3.570640087,3742013811,3742013812,3716913803,0,internal_timestamp,75.38600159,1507925003,33.81119919,0,8.628100395,1026.592931,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('54',)",3716913803,7,3.570630074,3742013811,3742013812,3716913803,0,internal_timestamp,75.39099884,1507925003,33.81100082,0,8.628199577,1026.592783,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('55',)",3716913803,7,3.570630074,3742013811,3742013812,3716913803,0,internal_timestamp,75.39199829,1507925003,33.81100082,0,8.628199577,1026.592787,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('56',)",3716913803,7,3.570630074,3742013811,3742013812,3716913803,0,internal_timestamp,75.39700317,1507925003,33.81100082,0,8.628199577,1026.59281,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('57',)",3716913803,7,3.570630074,3742013811,3742013812,3716913803,0,internal_timestamp,75.40000153,1507925003,33.81110001,0,8.628100395,1026.592917,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('58',)",3716913803,7,3.570630074,3742013811,3742013812,3716913803,0,internal_timestamp,75.40200043,1507925003,33.81110001,0,8.628100395,1026.592926,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('59',)",3716913803,7,3.57062006,3742013811,3742013812,3716913803,0,internal_timestamp,75.40699768,1507925003,33.81110001,0,8.628100395,1026.592949,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('60',)",3716913803,7,3.570600033,3742013811,3742013812,3716913803,0,internal_timestamp,75.41100311,1507925003,33.81090164,0,8.628100395,1026.592812,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('61',)",3716913803,7,3.570590019,3742013811,3742013812,3716913803,0,internal_timestamp,75.41400146,1507925003,33.81069946,0,8.628100395,1026.592667,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('62',)",3716913803,7,3.570580006,3742013811,3742013812,3716913803,0,internal_timestamp,75.41699982,1507925003,33.81060028,0,8.628100395,1026.592603,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('63',)",3716913803,7,3.570580006,3742013811,3742013812,3716913803,0,internal_timestamp,75.42299652,1507925003,33.81060028,0,8.628100395,1026.592631,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('64',)",3716913803,7,3.570580006,3742013811,3742013812,3716913803,0,internal_timestamp,75.42500305,1507925003,33.81069946,0,8.628000259,1026.592733,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('65',)",3716913803,7,3.570590019,3742013811,3742013812,3716913803,0,internal_timestamp,75.4280014,1507925003,33.81079865,0,8.628000259,1026.592825,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('66',)",3716913803,7,3.570600033,3742013811,3742013812,3716913803,0,internal_timestamp,75.43599701,1507925003,33.81090164,0,8.628000259,1026.592942,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('67',)",3716913803,7,3.570600033,3742013811,3742013812,3716913803,0,internal_timestamp,75.43699646,1507925003,33.81100082,0,8.628000259,1026.593024,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('68',)",3716913803,7,3.570600033,3742013811,3742013812,3716913803,0,internal_timestamp,75.44100189,1507925003,33.81090164,0,8.628000259,1026.592965,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('69',)",3716913803,7,3.570600033,3742013811,3742013812,3716913803,0,internal_timestamp,75.44400024,1507925003,33.81079865,0,8.628000259,1026.592898,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('70',)",3716913803,7,3.570580006,3742013811,3742013812,3716913803,0,internal_timestamp,75.44599915,1507925003,33.81069946,0,8.628000259,1026.592829,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('71',)",3716913803,7,3.570569992,3742013811,3742013812,3716913803,0,internal_timestamp,75.44999695,1507925003,33.81060028,0,8.628000259,1026.59277,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('72',)",3716913803,7,3.570569992,3742013811,3742013812,3716913803,0,internal_timestamp,75.4509964,1507925003,33.8105011,0,8.628000259,1026.592697,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('73',)",3716913803,7,3.570569992,3742013811,3742013812,3716913803,0,internal_timestamp,75.45800018,1507925003,33.8105011,0,8.628100395,1026.592713,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('74',)",3716913803,7,3.570559978,3742013811,3742013812,3716913803,0,internal_timestamp,75.46399689,1507925003,33.8103981,0,8.628199577,1026.592644,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('75',)",3716913803,7,3.570569992,3742013811,3742013812,3716913803,0,internal_timestamp,75.46600342,1507925003,33.8103981,0,8.628199577,1026.592654,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('76',)",3716913803,7,3.570580006,3742013811,3742013812,3716913803,0,internal_timestamp,75.46800232,1507925003,33.8103981,0,8.628199577,1026.592663,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('77',)",3716913804,7,3.570590019,3742013811,3742013812,3716913804,0,internal_timestamp,75.47399902,1507925004,33.81060028,0,8.628100395,1026.592864,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('78',)",3716913804,7,3.570600033,3742013811,3742013812,3716913804,0,internal_timestamp,75.47399902,1507925004,33.81079865,0,8.628000259,1026.593035,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('79',)",3716913804,7,3.570600033,3742013811,3742013812,3716913804,0,internal_timestamp,75.47499847,1507925004,33.81090164,0,8.627900124,1026.593136,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('80',)",3716913804,7,3.570590019,3742013811,3742013812,3716913804,0,internal_timestamp,75.48200226,1507925004,33.81079865,0,8.627900124,1026.593087,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('81',)",3716913804,7,3.570580006,3742013811,3742013812,3716913804,0,internal_timestamp,75.48200226,1507925004,33.81069946,0,8.628000259,1026.592994,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('82',)",3716913804,7,3.570569992,3742013811,3742013812,3716913804,0,internal_timestamp,75.48699951,1507925004,33.8103981,0,8.628100395,1026.592765,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('83',)",3716913804,7,3.570559978,3742013811,3742013812,3716913804,0,internal_timestamp,75.48699951,1507925004,33.81029892,0,8.628199577,1026.592672,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('84',)",3716913804,7,3.570559978,3742013811,3742013812,3716913804,0,internal_timestamp,75.49199677,1507925004,33.81019974,0,8.628199577,1026.592617,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('85',)",3716913804,7,3.570569992,3742013811,3742013812,3716913804,0,internal_timestamp,75.49500275,1507925004,33.8103981,0,8.628100395,1026.592802,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('86',)",3716913804,7,3.570569992,3742013811,3742013812,3716913804,0,internal_timestamp,75.49900055,1507925004,33.8103981,0,8.628100395,1026.59282,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('87',)",3716913804,7,3.570569992,3742013811,3742013812,3716913804,0,internal_timestamp,75.50099945,1507925004,33.8105011,0,8.628000259,1026.592925,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('88',)",3716913804,7,3.570559978,3742013811,3742013812,3716913804,0,internal_timestamp,75.50299835,1507925004,33.8103981,0,8.628000259,1026.592854,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('89',)",3716913804,7,3.570559978,3742013811,3742013812,3716913804,0,internal_timestamp,75.50499725,1507925004,33.8103981,0,8.628100395,1026.592847,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('90',)",3716913804,7,3.570559978,3742013811,3742013812,3716913804,0,internal_timestamp,75.50800323,1507925004,33.8103981,1,8.628100395,1026.592861,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('91',)",3716913804,7,3.570569992,3742013811,3742013812,3716913804,0,internal_timestamp,75.51200104,1507925004,33.81060028,0,8.628000259,1026.593053,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('92',)",3716913804,7,3.570580006,3742013811,3742013812,3716913804,0,internal_timestamp,75.51200104,1507925004,33.81079865,0,8.627900124,1026.593224,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('93',)",3716913805,7,3.570580006,3742013811,3742013812,3716913805,0,internal_timestamp,75.51499939,1507925005,33.81079865,0,8.627799988,1026.593253,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('94',)",3716913805,7,3.570580006,3742013811,3742013812,3716913805,0,internal_timestamp,75.51699829,1507925005,33.81079865,0,8.627799988,1026.593263,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
